Feature,Mean_RF_Importance,SD_RF_Importance,Mean_SHAP,SD_SHAP
Chrom_SlogP_VSA2,0.006439007987161618,0.00034404099151711564,0.002978791211668456,0.00017381190093483843
Chrom_VSA_EState5,0.007346346962376141,0.0003134045750092152,0.0026907635746733845,0.0002593291854061223
Chrom_SlogP_VSA4,0.0032926002298654124,0.00018215813626370044,0.0026442089064662826,0.000278829089751943
Chrom_EState_VSA6,0.005251313548839217,0.0001891470746962231,0.0025397557258901586,0.00021187131921749644
Chrom_PEOE_VSA9,0.0058319303413310025,0.0001523045660343246,0.0025191525774325594,0.0001638862612209149
Solv_BalabanJ,0.0034415657869074543,0.0004202454967987905,0.0025089254100993724,0.0004899040051365766
Chrom_PEOE_VSA12,0.005334570170964527,0.0003282588662868652,0.002468360706428846,0.0003166666715173842
Chrom_PEOE_VSA13,0.0077791772978283834,0.000647532180118992,0.002425519881751225,0.00031570790790044344
Chrom_SlogP_VSA3,0.008620030224137215,0.0010213829695055949,0.0024212774944445794,0.0005377551186504826
Solv_BertzCT,0.0032339529354649212,0.00040872170416222556,0.002396185126526976,0.0004075208467902413
Solv_MolWt,0.0034776393109973323,0.00024389481902487438,0.0023845569628021257,0.000489037112820459
Chrom_fr_aniline,0.0027265279601718425,0.0001564355158884481,0.0023749996254444636,0.0002351518324481226
Chrom_SMR_VSA5,0.006362574998815552,0.00047228871250963193,0.002356256033472652,0.0003896383379959815
Chrom_fr_bicyclic,0.005227864326294381,0.00014488372424621067,0.002346314739175357,0.00019488670198039074
Solv_BCUT2D_CHGHI,0.00320468220912144,0.0003126741019354242,0.0023216669276281765,0.0004459107714106504
Solv_Ipc,0.00291111394508328,0.00034019588740227574,0.0022552842368118477,0.0002967938607288653
Chrom_SMR_VSA1,0.004821469681429583,0.00029621242251831294,0.0021985054124952557,0.0002401391474667358
Chrom_VSA_EState10,0.00370631279063991,0.0003994602083875652,0.002191940662060986,0.00032984046453769057
Chrom_EState_VSA2,0.003757144974545446,0.00018351308397509958,0.00210571664463551,0.00024386723205688146
Chrom_fr_ketone,0.00226190850454407,0.00030550935951540934,0.002055551927759922,0.00028436518250990554
Chrom_fr_thiazole,0.003277026123774582,0.0005889618261258775,0.0020257642702032385,0.00032510290237749664
Chrom_SlogP_VSA11,0.0031585477707638102,0.0004934718864796394,0.001967597235395726,0.00028249211754653605
Chrom_EState_VSA7,0.007432686427636767,0.00044907715364038675,0.0019006131713663812,0.00011601618656932154
Chrom_NHOHCount,0.0047552454915040145,0.0005049412991156023,0.001850256096030785,0.0002167415129196476
Chrom_EState_VSA3,0.00394345253219742,0.00014599298003734865,0.0018416023072464448,0.00011066059124552881
Chrom_PEOE_VSA11,0.005659677328383574,0.00037226882757431624,0.0018220630868437365,0.00016892379462478524
Chrom_PEOE_VSA3,0.004357108920021542,0.0003766267333628605,0.0018187622034178095,0.0001593420235733826
Chrom_fr_Ar_OH,0.007069206365300336,0.0014658336178732024,0.001769524003670459,0.00030662760917666415
Chrom_EState_VSA10,0.005419683871668788,0.0004684667272847072,0.00170937320382721,0.00024295576163689894
Chrom_EState_VSA9,0.0039254405107139465,0.00014911781748018282,0.0016773066959067013,0.0001615760027753185
Chrom_SlogP_VSA12,0.00217722116780763,0.00011640724219021927,0.001618113540972891,0.0001962502801413607
Chrom_PEOE_VSA2,0.002721164310970672,0.0001397193559425913,0.0015714852447675184,0.00020284069218946775
Solv_Kappa2,0.002439473754646853,0.0002310244549926279,0.0015509252133686393,0.00019434795756758278
Chrom_PEOE_VSA14,0.002539357593742789,0.00020828640953920798,0.0014557413458410745,0.0003742050092509657
Chrom_NumAromaticHeterocycles,0.0029509121061043137,0.0001440362352507555,0.0014383288861564514,9.022072539457791e-05
Solv_MaxPartialCharge,0.0016267614544540666,0.00015218082058092376,0.0014120331501470955,0.00020666063359841034
Chrom_NumAliphaticCarbocycles,0.003881625916571537,0.000589230245605825,0.0014027375902388548,0.00025959172583029494
Chrom_PEOE_VSA5,0.0022188981560964443,0.00023001231847853598,0.0013636232402453666,0.0001478025323141439
Chrom_EState_VSA11,0.001113498583160123,0.000174998536994075,0.0013339279960181529,0.00023175669109988075
Solv_BCUT2D_MWHI,0.0023448236207742933,0.00023318020858877287,0.0012634693293723997,0.00010700459632370345
Chrom_fr_oxazole,0.0047783459269329105,0.0008499047749350094,0.001236918241699928,0.0003709390728624264
Solv_qed,0.0020996601102782285,0.0001808586815794905,0.0012365973664539376,0.0002710709289819468
Chrom_fr_aryl_methyl,0.0028087872071474417,0.0002920676672977406,0.0010713010458047666,0.00014273818296159645
Chrom_PEOE_VSA4,0.0027033172362009943,0.00016246017671637676,0.001053465648483284,6.846553426645377e-05
